SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason
226,Burley Street (46)  LS3 1DH,0.1,"",48,G,Main Urban Area Infill,Brownfield,Site within urban area.  Suitable in principle for residential development.
252,Belle Isle Road - Merlyn Rees High School,2.2,"",67,A,Main Urban Area Infill,Mix 50:50,The dwelling figure represents a reduction in developable area due to boundary redraw. Site is suitable for housing.
262,"Beckhill Approach, Miles Hill Primary School, Meanwood",2.6,"",79,G,Main Urban Area Infill,Mix 50:50,"Vacant land.  Sport England have agreed the principle of remodelling playing pitch land, planning brief being produced, so residential development considered acceptable in principle."
263,"Beckhill Grove - former Hill Top Public House, Meanwood",0.5,"",14,G,Main Urban Area Infill,Mix 50:50,"Majority brownfield, vacant site, redevelopment will aid the regeneration of Beckhill Estate. Suitable for residential."
285,"Macaulay Street - former Garage Site, Burmantofts",0.4,"",24,G,Main Urban Area Infill,Brownfield,Bownfield site in urban area suitable for development.
814,Oak Tree Mount  LS9,2.2,"",63,G,Main Urban Area Infill,Brownfield,Site suitable in principle for residential development.
816,York Road Depot/South Parkway LS14,0.9,"",39,G,Main Urban Area Infill,Brownfield,The principle of residential development is acceptable  and the site has previous planning history for residential approval (2008)
1023,"Wesley Road (west of ),  Tong Road (north of), Armley",1,"",38,G,Main Urban Area Infill,Greenfield,Site within urban residential area.   Suitable in principle for residential development.
1145A,"Hudson Road, Hudson Mill (Arcadia), Burmantofts",11.4,"",360,A,Main Urban Area Infill,Brownfield,Agreed for housing with members.
1340,"Oak Road, New Wortley - Gassey Fields",2.8,"",137,G,Main Urban Area Infill,Greenfield,Allocated housing site in West Leeds Gateway Supplementary Planning Document (SPD).  Suitable for residential development.
2027,Round House (rear of),1,"",310,G,Main Urban Area Infill,Brownfield,Site in urban area.  Suitable in principle for residential development.
2141B,"Wykebeck Avenue, Osmondthorpe",1.4,"",52,G,Main Urban Area Infill,Greenfield,Siteis in predominantly residential area. Adjacent area is identified site. Suitable for residential.
2142,"Kendall Drive, Halton Moor",0.5,"",15,G,Main Urban Area Infill,Brownfield,"Vacant brownfield site, grassed over.  Suitable in principle for residential development.  Formerly identified for housing on the withdrawn East and South East Leeds (EASEL) Area Action Plan."
2143,"Neville Road, Halton Moor",2.8,"",83,G,Main Urban Area Infill,Brownfield,Part of land available in line with members and officer agreement on level of greenspace.
2146,"Barncroft Close, Seacroft",0.7,"",27,G,Main Urban Area Infill,Brownfield,"Vacant brownfield site, grassed over.  Suitable in principle for residential development.  Formerly identified for housing on the withdrawn East and South East Leeds (EASEL) Area Action Plan."
2147B,"Askets and Boggarts (B), Seacroft",5.5,"",150,A,Main Urban Area Infill,Greenfield,Part of site for residential and part for greenspace as agreed with members.
2147D,"Askets and Boggarts (D), Seacroft",4.4,"",88,A,Main Urban Area Infill,Greenfield,Site split between housing and greenspace as agreed with members.
2150A,"South Parkway and Brooklands, Seacroft",1.9,"",68,G,Main Urban Area Infill,Brownfield,Brownfield site within the main urban area. Suitable in principle for residential development.
2150C,"South Parkway and Brooklands, Seacroft",2.2,"",65,G,Main Urban Area Infill,Brownfield,Brownfield site within the main urban area. Suitable in principle for residential development.
3143,"Cambrian Street, LS11",0.6,"",37,G,Main Urban Area Infill,Greenfield,Site is a green wedge between a motorway and large resdiential area. Site does not include N1 to the north. Suitable for housing.
3454,Land off Holdforth Place,0.8,"",48,G,Main Urban Area Infill,Brownfield,Site in largely residential area.
4027,"Newhall Gate, Newhall Crescent, Middleton",0.6,"",23,A,Main Urban Area Infill,Greenfield,""
4060,"Former Shaftesbury PH, York Road",0.6,"",23,A,Main Urban Area Infill,Brownfield,""
4110,Brooklands Avenue,0.8,"",26,A,Main Urban Area Infill,Mix 50:50,""
4117,Moresdale Lane,0.4,"",14,A,Main Urban Area Infill,Greenfield,"Greenfield site in the Main Urban Area, previously had residential development, therefore principle of development acceptable."
4120,Hawkshead Crescent,0.8,"",25,G,Main Urban Area Infill,Greenfield,Brownfield (former cleared housing site) in the Main Urban Area. Suitable in principle for residential development.
4123,York Road / Selby Road,0.9,"",20,A,Main Urban Area Infill,Brownfield,"Brownfield site, suitable in principle for residential development. Some Highway concerns regarding access, but given former use and small scale of development that could be accommodated an acceptable solution is likely to be available."
4125,"Winrose Drive, Middleton",0.4,"",13,A,Main Urban Area Infill,Greenfield,Designated as N1 greenspace in the UDP. Consideration of greenspace in the round and local preference to allocate for housing.
5007,"Former Moorend training Centre, Tulip Street, Hunslet",0.7,"",26,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in Main Urban Area, suitable in principle for residential development."
5014,Gleadhow Road/Gledhow Terrace,0.4,"",25,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in the Main Urban Area, suitable in principle for residential development."
5017,"Amberton HOP, Thorn Mount, Gipton",0.6,"",20,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in the Main Urban Area, suitable in principle for residential development."
5020,"Burley Willows Care Home, Willow Garth, Burley",0.5,"",28,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in the Main Urban Area, suitable in principle for residential development."
198,Kirkstall Road - Yorkshire Chemicals Plc,5.9,"",273,LG,Main Urban Area Infill,Brownfield,Site to be removed from the 'identified' list and instead included as a preferred site as part of the group of four sites making up a larger area to be masterplanned. Capacity is revised accordingly - 273 - recalculated based on CC density and halved to allow for mixed use - KH/LP/SS 19/11/14.  Suitable for mixed use office development based on previous permission for 31000sqm of offices and close proximity to city centre boundary.
1265,Armley Gyratory - former Gas Works,5,"",122,A,Main Urban Area Infill,Brownfield,With the proposed remodelling of the Armley Gyratory junction land should become available for housing and general employment development.  It is a suitable location for both.
3015,Benyon House,2.5,"",37,A,Main Urban Area Infill,Brownfield,Site is suitable for residential or mixed use. Agreed with members.
3390,"Washington Street and Kirkstall Road, Leeds",2.8,"",238,A,Main Urban Area Infill,Brownfield,Suitable site for offices and high density housing on the fringes of the city centre.  Needs to be properly masterplanned with similar nearby sites.
3393,"Kirkstall Road, Leeds",2.4,"",315,A,Main Urban Area Infill,Brownfield,Suitable site for offices and high density housing on the fringes of the city centre.  Needs to be properly masterplanned with similar nearby sites.
3408,"Wellington Road, Leeds",2.5,"",325,A,Main Urban Area Infill,Brownfield,Suitable site for offices and high density housing on the fringes of the city centre.  Needs to be properly masterplanned with similar nearby sites.
278,"Compton Road  - Compton Arms, Burmantofts  LS9 7B",0.4,"",50,G,Main Urban Area Infill,Brownfield,No employment
1146,"York Road (land south of), East of Pontefract lane, Richmond Hill  LS9",5.5,"",121,A,Main Urban Area Infill,Mix 70:30,Site suited for residential development but part is required for a school extension and part must be retained as greenspace.  Not preferred for general employment.
206,East Street (78) - adjacent To Rose Wharf,0.5,"",72,AV,Main Urban Area Infill,Brownfield,""
207,"Lowfold, East Street",2.5,"",300,AV,Main Urban Area Infill,Brownfield,""
279,"Church Road - St Marys Church and Presbytery, Richmond Hill",0.8,"",126,LG,Main Urban Area Infill,Brownfield,""
301,"Upper Accommodation Road, LS9",0.4,"",16,AV,City Centre Infill,Brownfield,""
398,East Street/Ellerby Road LS9,0.9,"",102,AV,Main Urban Area Infill,Greenfield,""
437,South Accommodation Road  LS9,0.5,"",27,AV,Main Urban Area Infill,Brownfield,""
1065,"Goodman Street (76) - Tetleys Motor Services, Hunslet LS10",0.6,"",36,AV,Main Urban Area Infill,Brownfield,""
4063,"Butterfield Manor & Richmond Court, Walter Crescent",0.8,"",48,AV,Main Urban Area Infill,Brownfield,""
184,"M621 Interchange Site, Holbeck",1.5,"",176,R,City Centre Infill,Greenfield,Located immediately adjacent to major vehicle infrastructure (the road network) which would create negative amenity issues for a residential use i.e. noise and pollution.  History of office and employment permissions on this site.  Not suitable.
201,"Armley Road, Armley",0.8,"",48,R,Main Urban Area Infill,Brownfield,The site is within an existing employment area.  Not considered a suitable location for residential.
211,Meanwood Road - rear of 338/374,0.5,"",50,A,Main Urban Area Infill,Brownfield,Agreed to retain as employment site as agreed with members.
229,"Kirkstall Road - Grahams site, Burley",0.4,"",100,A,City Centre Infill,Brownfield,Members agreed with this Officer suggestion that this site is unlikely to come forward for residential as it is now a car showroom.
232,Kirkstall Road - Maxis Restaurant site,0.3,"",107,A,City Centre Infill,Brownfield,Memners agreed with Officer recommendation that this is not likely to be available as has planning permission.
259B,"Cartmell Drive, Whitebridge Primary School, Halton Moor",1,"",0,G,Main Urban Area Infill,Brownfield,split site - part B is required for school so not allocated
264,Roundhay Road (79)/Barrack Road Area Offices etc.,1.8,"",107,G,Main Urban Area Infill,Brownfield,Site required for school provision. Not available for residential.
370,Cambridge Road - Blenheim Middle School (land south of),0.6,"",37,R,Main Urban Area Infill,Greenfield,"The majority of the site is designated greenspace (N1) in the existing UDP, and links in with a wider greenspace area.  Part of the site has a car park for adjacent industry.  Mature trees and footpaths across site. Not suitable."
1011,Oldfield Lane ( No 11) LS12 4DH,3.9,"",193,R,Main Urban Area Infill,Brownfield,The site is in employment use and is not within a residential area.
1087,"Grosvenor Road - land at Ridgeway House, Hill Ridge House, Rosehurst  LS6",1.2,"",43,R,Main Urban Area Infill,Greenfield,"Heavily wooded site within conservation area, so not considered suitable for housing."
1098,"Boothroyd Drive, Meanwood  LS6",3.1,"",25,R,Main Urban Area Infill,Greenfield,The site is designated as greenspace (N1) and proposed greenspace (N5) on the existing UDP. The southern part of the site is within a Local Nature Area (LNA) on the existing UDP. Highway concerns as would need to acquire a property to gain access. Not suitable.
1142,Park Lane - land and property at Oak House LS3,0.2,"",40,A,"",Mixed,Site on edge of City Centre currently being used as an office. Any residential proposals are 8 years old. No interest in residential since.
1145B,"Hudson Road, Hudson Mill (Arcadia), Burmantofts",8.9,"",230,R,Main Urban Area Infill,Brownfield,Agreed with members to propose employment use for this area.
1152,"Oakwood Lane (land to east of), Leeds (Part of St Nicholas church site)",1,"",37,R,Main Urban Area Infill,Greenfield,Two thirds of the site is a designated protected playing pitch (N6) on the existing UDP and is part of the school grounds.  80% of the site is within flood zone 3 (high risk). Not suitable.
1278,Gelderd Road - Symphony Group   LS12,6.6,"",195,R,Main Urban Area Infill,Brownfield,The site is not within a residential area and would be more suitable as an employment site.
2025,Aireside - adjacent Park,1.4,"",192,A,City Centre Infill,Brownfield,""
2077,"Meanwood Road, Meanwood  LS6",1.2,"",44,R,Main Urban Area Infill,Greenfield,"Site is a designated allotment site (N1A) on the existing UDP and part is a Local Nature Area.  The allotments are overgrown, mature trees around boundary. Heavily Wooded area. Not suitable."
2079,"Matthew Murray High School (former), Holbeck  LS11",6.4,"",314,A,Main Urban Area Infill,Mix 60:40,Site unavailable at present.
2140,"Raincliffe Road, Richmond Hill",0.5,"",18,G,Main Urban Area Infill,Brownfield,Members and oficers identified the site for a community use. Not available for residential.
2145,"Primrose High School (former), Lincoln Green",5.7,"",77,LG,Main Urban Area Infill,Brownfield,"Expired permission, now likely to go for free school"
2148,"Baileys Lane East, Seacroft",1.3,"",46,G,Main Urban Area Infill,Greenfield,To be retained as greenspace
2149,"Ramshead Approach, Seacroft",3.3,"",15,A,Main Urban Area Infill,Greenfield,Retain as greenspace
3009,Former Leeds Industrial Co Op Society Ltd Dairy Depot,1.2,"",45,R,Main Urban Area Infill,Brownfield,Not within residential area.  Site better suited for employment use.
3081A,Robin Hood West,14.2,"",0,G,"",Greenfield,Site is not required to meet the housing numbers due to local preference for alterantive sites. There is a possibility for a 2FE primary school on the site.
3081B,Robin Hood West,8,"",210,R,"",Greenfield,Agreed with members not to allocate.
3148,"Oatland Lane, LS7",1.2,"",23,LG,Main Urban Area Infill,Brownfield,Site no longer available - permission office and school
3150,"Leicester Place, LS7",0.6,"",31,R,Main Urban Area Infill,Greenfield,The site is used as open space and provides a buffer between the housing estate and highway. It is Green flat land surrounding the residentuial units.
3153,"Seacroft Crescent, LS14",0.6,"",13,G,Main Urban Area Infill,Greenfield,Site is a combination of Car Park and and landscaped land next to health facility. Part of the site also appears to be a thoroughfare connecting the Tescos to parts of Seacroft. A mature tress also populate the site. Not suitable.
3191,"Meynell Heights, LS11",0.4,"",55,G,Main Urban Area Infill,Brownfield,Site is an occupied tower block. Not suitable.
3197,"Cambridge Road, LS6",0.3,"",22,R,Main Urban Area Infill,Greenfield,This is green flat land that is effectively a buffer/landscaping between the existing residential units and the road. Not suitable.
3399,Premises at Roseville Road Leeds LS8 5DR,1.4,"",84,R,Main Urban Area Infill,Brownfield,In current use as car showrooms. Not suitable.
3411,"Torre Road, Leeds",1.5,"",58,A,Main Urban Area Infill,Brownfield,iite in occupied employment use. Not suitable for residential.
3425,"Armley Road, Leeds",2.1,"",100,A,Main Urban Area Infill,Brownfield,In employment use. Not appropriate for allocation for housing.
3426,"Barrack Street, Leeds",2.8,"",138,A,Main Urban Area Infill,Brownfield,In indutrial area. Currently in employment use. Officer and members agree not suitable for housing.
3427,"Cliffdale Road, Leeds",0.5,"",18,A,Main Urban Area Infill,Brownfield,""
3432,"Kirkstall, Leeds",9,"",236,A,Main Urban Area Infill,Brownfield,""
3433,"Meanwood Road/Cross Chancellor Street, Leeds",0.8,"",49,A,Main Urban Area Infill,Brownfield,""
4090,East Leeds Family Learning Centre (Former),3.8,"",115,G,Main Urban Area Infill,Brownfield,""
4098,Seacroft Ring Road,1.4,"",43,R,Main Urban Area Infill,Greenfield,""
4099,Seacroft Ring Road,3.1,"",82,R,Main Urban Area Infill,Greenfield,""
4100,"Ramshead Drive, Seacroft",1.8,"",56,R,Main Urban Area Infill,Greenfield,""
4101,Ramshead Wood,4.4,"",116,R,Main Urban Area Infill,Greenfield,""
4102,Ramshead Drive,2,"",53,A,Main Urban Area Infill,Greenfield,""
4107,North Parkway / Asket Walk,1.6,"",49,R,Main Urban Area Infill,Greenfield,""
4113,Bishops Way,2.5,"",67,R,Main Urban Area Infill,Greenfield,""
4114,Lambrigg Crescent,0.6,"",18,R,Main Urban Area Infill,Greenfield,""
4115,Foundry Mill Street,1.6,"",50,A,Main Urban Area Infill,Greenfield,""
4122,Seacroft Hall,7.6,"",200,A,Main Urban Area Infill,Greenfield,""
4124,"John Charles Approach, Middleton",4.3,"",128,A,Main Urban Area Infill,Greenfield,""
4225,"Domestic Street, Holbeck",2.6,"",125,NonIO,Main Urban Area Infill,Brownfield,""
5018,"Land at Brown Lane West, Holbeck",1.7,"",99,NonIO,Main Urban Area Infill,Greenfield,Site to be allocated for employment
331,South Accommodation Road and Atkinson Street,1.2,"",69,AV,Main Urban Area Infill,Brownfield,""
340,"Church Street (former motor dealers premises), Hunslet",1.3,"",46,AV,Main Urban Area Infill,Brownfield,""
342,"Low Road - Hemingway House, Hunslet  LS10 2PR",0.5,"",20,AV,Main Urban Area Infill,Brownfield,""
3,Monk Bridge Road (3)  LS6,0.5,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
6,"Kirkstall Lane, Victoria Home LS6",0.5,"",50,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
8,"Otley Road, Spenfield House LS16",1.2,"",13,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
34,"Low Hall Road -Riverside Mill, Horsforth LS19",7.9,"",90,LG,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
65,"Low Lane - Woodside Mill, Horsforth",1.3,"",59,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
106,Newton Green  - former Civil Service Sports Association Ground,1.6,"",14,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
124,"Park Avenue (1) - Beech Lodge, Roundhay",0.4,"",4,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
174,"Moor Road (40/42) - University of Leeds, Tetley Hal",2.6,"",68,G,Main Urban Area Infill,Mix 50:50,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
253,Cranmer Gardens - Moorhaven Residential Home  LS17,0.6,"",14,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
685,"Tile Lane - Eastmoor, Adel, LS16",5.6,"",67,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
687,"Dunstarn Lane, Adel, LS16",2.7,"",28,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
688,Silk Mill Drive  LS16,0.4,"",20,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
689,Cookridge Hospital  LS16,7.2,"",495,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
720,"Westbrook Lane, Horsforth",1.2,"",15,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
721,"Westbrook Lane, Horsforth",2.7,"",75,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
731,"Victoria Avenue, Horsforth",0.4,"",6,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
762,Chandos Avenue LS8,1.7,"",1,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
764,Woodlea Drive - The Mansion LS6,1,"",25,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
845,Mansion Gate Drive - Mansion House  LS7,0.6,"",37,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1033,"Otley Road, Government Buildings  LS16 5PU",4.7,"",130,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1092,"St Ann's Lane - former Boston Exchange Diner), Leeds LS4 2SE",0.7,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1172,"Yorkshire Bank Sports Ground (former), LS17",1.4,"",29,A,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1299A,"Otley Road - Bodington Hall, Lawnswood  LS16",9.3,"",126,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1339,"Calverley Lane, Horsforth - Clariant UK Ltd   LS18 4RP",18.8,"",331,P,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3010A,"Land south east of Holt Park Leisure Centre, Holt Park, Leeds",1.1,"",52,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3151,"Queenshill Court, Moortown",0.6,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3184,"Former Dutton Arms (PH), Queenswood Drive",0.2,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3201,"The Former Lounge Cinema, North Lane, Headingley",0.2,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3207,"Rear 268-274 Shadwell Lane, LS17",0.3,"",8,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3215,"The Grove, North Lane, LS8",0.3,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3217,"232 Burley Road, LS4",0.3,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3301,"128 Wetherby Road, Roundhay, Leeds, LS8 2JZ",0.2,"",5,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3341,LS8 2JJ,0.3,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4055,"Former Police Station, Broadway, Horsforth",0.4,"",12,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4058A,"Land at 116 Cardigan Road, Headingley",0.2,"",14,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4093,"Salmon Crescent / Stanhope Drive, Horsforth",0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4177,"Park Cottages, Leeds 8",0.2,"",5,NonIO,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4179,"19 Shire Oak Road, LS6",0.2,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4182,"St Anns Lane, LS4 2SE",0.3,"",13,NonIO,Main Urban Area Infill,Mix 60:40,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4184,"Belmont House, Wood Lane, LS6",0.5,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4188,"Former Grosvenor Casino, Harrogate Rd and Street Lane",0.2,"",13,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5102,"Headingley Halls Of Residence 54 - 56 Headingley Lane, Headingley, Leeds, LS6 2BP",0.3,"",39,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5106,"Former Squirrel Way Children's Home, Squirrel Way, Leeds, LS17 8fq",0.7,"",60,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5112,"Stratford Court, School Lane, Chapel Allerton",0.3,"",28,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5125,SUMMERFIELD HO OUTWOOD LN HORSFORTH,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5138,505 HARROGATE ROAD LS17,0.3,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2404860,83 Cardigan Lane LS4,0.1,"",22,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2404950,Eden Mount LS4,0.1,"",17,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2602780,25-7 Bennett Road LS6,0.1,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603270,45 St Michael's Lane LS6,0.1,"",41,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603310,1 North Grange Mount LS6,0.1,"",11,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603760,"51 - 61 Otley Road And 3 - 9 North Lane, LS6",0.1,"",14,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603920,"8 Holly Bank, Otley Road, Headingley, Leeds, LS6 4DJ",0.1,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701370,Long Row Horsforth,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701410,"Throstle Nest Villa, New Road Side",0.2,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701470,"Low Fold Garage, New Road Side, Horsforth, Leeds",0.2,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3002370,Sutherland Avenue LS8,0.2,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3002600,468 Harrogate Road LS17,0.1,"",10,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3002640,"467 Street Lane, Roundhay, Leeds",0,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3402660,"321 Chapeltown Road, Chapeltown, Leeds, LS7 3LL",0.1,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701430,"85 BROADGATE LANE, HORSFORTH, LEEDS, LS18",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3402690,"3 Park Crescent, Roundhay, Leeds",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603820,"GRANBY STREET, HEADINGLEY, LEEDS, LS6",0,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3402640,"2 ST MARTIN'S ROAD, LEEDS, LS7 3LX",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
376,"Ring Road West Park, Silk Mill Way and Iveson DriveIveson Drive",24.4,"",485,LG,Main Urban Area Infill,Brownfield,Suitable site for residential and employment uses.  Site has outline planning permission from 2010 for mixed use development with 485 dwellings and offices (4950sqm)
626,Abbey Road - Kirkstall Forge  LS5,17.8,"",970,LG,Main Urban Area Infill,Brownfield,Site has planning permission for mixed use residential scheme.
16,"Sandhill Lane (29), Moortown  LS17 6AJ",0.4,"",10,G,Main Urban Area Infill,Brownfield,Mixed brownfield/greenfield site within urban area.  Suitable in principle for residential development.
37,"Vesper Road (land at), Kirkstall LS5 3NU",0.5,"",17,G,Main Urban Area Infill,Brownfield,"Brownfield site within urban area, suitable for residential development in principle."
81,"High Moor Court (land at rear),  High Moor Avenue, Moor Allerton",0.9,"",20,A,Main Urban Area Infill,Greenfield,Within the urban area. Residential use is acceptable in principle. Half the site to remain as green space.
118,The View (21/23) - Alwoodley  LS17 7NA,0.4,"",6,G,Main Urban Area Infill,Brownfield,Brownfield/greenfield site within the main urban area. The site has two properties on site currently.  Residential use acceptable in principle.
235,Clarence Road (land at) - Horsforth  LS18 4LB,0.7,"",25,G,Main Urban Area Infill,Brownfield,Site within the urban area. Suitable in principle for residential development.
1016,"Broadway and Calverley Lane, Horsforth",0.6,"",18,A,Main Urban Area Extension,Greenfield,"Green Belt site, adjoining the main urban area with strong links to Horsforth.  A main road borders the site to the west, residential development to the east and the education site to the south, so the site is well contained and development would not set a precedent for further sprawl."
1062,Horsforth (former waste water treatment work),3.1,"",53,A,Main Urban Area Extension,Greenfield,"Green Belt site. The site is contained by a main road to the north, the river to the south, residential to the west and the Kirkstall Forge site to the east, so relates well to the urban area and development would be well contained and not set a precedent for further Green Belt sprawl."
1178A,"Dunstarn Lane (land south), Adel  LS16",7.1,"",187,G,Main Urban Area Extension,Greenfield,Green Belt site. Development of the site could be considered to 'round off' the existing built up area. Access would need to be through adjacent site 687 which is a housing allocation on the existing UDP. Suitable in principle for residential.
