SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
4232,"Lawnswood Arms, Holt Lane, Adel",0.8,"",0,NonIO,Main Urban Area Infill,Brownfield,"Whilst this is a brownfield site, so could be considered suitable for residential use in principle, it is in existing use as a public house and the owners have not submitted the site (rather it was suggested by the public).  As such, the site is not considered available.",426960,440129
4236,"Moorcock Hill, Old Lane, Bramhope",3.6,"",82,NonIO,"",Greenfield,Green belt site. Unrelated to settlement and development would be contrary to overall Core Startegy approach.,423347,443339
4251,"Land at Eccup Lane, Adel",6.4,"",168,NonIO,"",Greenfield,"Green belot site. Development would represent sprawl to the north of the urban area extending towards Golden Acre Park, unrelated to the existing settlement form.",427230,441047
5006,Pool Road,10.9,"",245,NonIO,"",Mixed,Site is isolated within the green belt. Not suitable for development.,423472,445204
5155,Land east of Moor Road Bramhope,3.8,"","",NonIO,Smaller Settlement Extension,Greenfield,"Green Belt site. Whilst the site is mainly contained by the adjacent existing housing and planting, it is an indefensible boundary.  Development of the site creates an incursion into the Green Belt creating an irregular boundary.",424879,442918
133,"Royds Green - Royds Green Farm, Oulton  LS26 8EZ",1.2,"",7,LG,Other,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,435414,426818
135,"Leeds Road - Lofthouse Hall, Lofthouse WF3",3,"",8,R,Smaller Settlement Infill,Greenfield,"Mixed greenfield/brownfield site in Lofthouse. The site is bordered by housing, Leeds Road and Rodillian Academy. Area is predominantly residential.",433098,426084
269,"Little Church Lane, Methley Infants School, Methley",1.5,"",12,LG,Smaller Settlement Extension,Brownfield,Site has exisitng Planning Permission.,439160,426734
334,"Fleet Lane (land off), Oulton",3.4,"",77,G,Major Settlement Extension,Greenfield,Protected Area of Search (PAS) site on UDP with Planning Permission.,436567,428175
335,"Royds Lane (land off), Rothwell",3.8,"",90,G,Major Settlement Extension,Greenfield,Protected Area of Search (PAS) site on UDP with Planning Permission.,435110,427870
498,"Pottery Lane, Woodlesford",1.4,"",41,LG,Major Settlement Infill,Greenfield,Site has planning permission.,436859,429331
499,"Aberford Road, Woodlesford",3.2,"",21,LG,Major Settlement Infill,Greenfield,Site has planning permission.,436874,429186
507,"Main Street, Carlton",0.5,"",15,LG,Other Rural Infill,Brownfield,Site has planning permission.,433782,427205
515,"Main Street, former Bay Horse Public House, Methley",0.5,"",2,LG,Smaller Settlement Infill,Brownfield,Site has planning permission.,439635,427236
519,"Holmsley Lane - Langdale PS, Woodlesford",1.6,"",3,LG,Major Settlement Infill,Brownfield,Site has planning permission.,435827,429057
523,"Pinfold Lane, Methley WMC, Methley",0.5,"",6,LG,Smaller Settlement Infill,Brownfield,Site has planning permission.,440098,427030
2129A,Mickletown Road Methley,0.3,"",6,G,Smaller Settlement Extension,Brownfield,"Brownfield Site. Derelict barn in the centre of the site, with housing to the east. Good access onto Station Road.",438829,427326
3300,"Former White Hart Hotel, 40 Church Street, Woodlesford, Leeds",0.2,"",7,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436427,429109
4192,"Land At Shayfield Lane, Carlton, WF3",0.7,"",14,NonIO,Other Rural Infill,Greenfield,"Connected to settlement, with good access. Flat with no tree coverage. Well defined boundary.",433558,426967
5101,"Woodland Hotel, Wood Lane, Rothwell, Leeds LS26 0ph",0.4,"",12,NonIO,Major Settlement Infill,Brownfield,Brownfield site surrounded by housing on three sides with good access.,433855,428943
5128,Main Street Mickletown,0.3,"",10,LG,Smaller Settlement Infill,Brownfield,UDP Allocated Housing Site H3-3A.13. Recent housing development completed to the east of the site. Good access.,439573,427241
5129,"Sharp Lane, Robin Hood",0.3,"",9,LG,Smaller Settlement Infill,Brownfield,Site built out.,432407,427605
5149,"China Red Dragon, 3 Wakefield Road, Oulton",0.6,"",74,NonIO,Other Rural Infill,Brownfield,Brownfield site with good access. Connected to housing to the south.,436221,427521
HLA2201950,Swithin Street Rothwell,0.1,"",8,LG,Major Settlement Infill,Greenfield,Site Built Out.,,
HLA2202010,"Marsh Street, Rothwell",0,"",6,LG,Major Settlement Infill,Brownfield,Site has Planning Permission.,,
HLA2202260,"The Chapel, Calverley Road, Oulton",0.1,"",8,LG,Major Settlement Infill,Brownfield,Site has Planning Permission.,,
129A,"Main Street and Pitfield Road, Carlton, Wakefield",1.1,"",36,G,Other Rural Infill,Brownfield,"Brownfield site within existing settlement limits and has well established boundaries. Could potentially improve visual aspect of area if developed. Highways have commented that there is limited frontage with Main Street, so development would need to be combined with the adjacent UDP housing allocation.",433864,427208
136,"Alma Villas (site at), Woodlesford  LS26 8PW",0.7,"",12,A,Major Settlement Infill,Mix 60:40,Small part of site in Green Belt. Well related to existing settlement pattern.,436511,429423
143,"Aberford Road - site of Glenoit and Minerva Mills, Oulton",2.3,"",70,A,Major Settlement Infill,Brownfield,"Cleared brownfield site. The site is bounded by housing to the south, and canal to the north. To mitigate flood risk issues.",437115,429078
289,"Main Street, Hunts Farm, Methley",1.2,"",25,A,Smaller Settlement Infill,Greenfield,"Working farm currently on site consisting of a collection of buildings and barns. Residential development surrounds the site on three sides, the remaining northern boundary borders a beck and a thick row of trees. The site has two access points.",439847,427356
1035,"Fleet Lane / Eshald Lane (land at), Oulton LS26 8HT",1.3,"",40,G,Major Settlement Extension,Greenfield,"Adjoining to settlement, no access issues to the site. Site with well defined boundary.",436742,428309
1049,"Haighside -south of St Georges Hospital, Rothwell",11.7,"",307,A,Major Settlement Extension,Greenfield,Site is connected to the urban area with establisehd boundaries. Acces via two road frontages (Wakefield Road and Wood Lane).,432893,428884
1058,"Haighside, Rothwell   LS26",10.3,"",271,A,Major Settlement Extension,Greenfield,Site is connected to the urban area with established boundaries. Local preference.,433315,428643
1259B,"Bullough Lane - Haigh Farm (land adjacent to), Rothwell Haigh LS26 0JY",8.5,"",154,A,Major Settlement Extension,Greenfield,Site is related to the existing settlement layout and contained by the park to the north with a well defined boundary.,435079,429367
1261,"Church Farm and surrounding land north of M62, Lofthouse  WF3 3SA",6.4,"",144,A,Smaller Settlement Extension,Greenfield,Site well contained and next to existing settlement.,433717,425971
1359,Wood Lane - Rothwell Garden Centre LS26,3.2,"",52,G,Major Settlement Extension,Mix 50:50,"Green Belt site on the edge of a Major Settlement (Rothwell). Mixed brown and greenfield site. The site relates well to the settlement being essentially an infill site between existing development and would not set a precedent for sprawl.  Only part of the site is in East, with the rest in the Outer South area (split East/OS 31/52).",433091,429190
1365A,"Swithens Lane, Rothwell, Leeds LS26 0BS",3.2,"",136,A,Major Settlement Extension,Greenfield,Site to the south of Rothwell connected to settlement. Development of site A would provide an opportunity for limited expansion and would partially 'round off' settlement. No Highways issues raised.,434545,427629
2129B,Mickletown Road Methley,9.5,"",181,G,Smaller Settlement Extension,Greenfield,PAS site in the UDP. Connected to existing settlement to the south. No Highways issues.,439074,427224
3088,"Westgate Lane, Lofthouse",1.1,"",31,A,Smaller Settlement Extension,Greenfield,"The site is well contained and this reduces the potential for sprawl and overall impact on the Green Belt. There are no physical constraints on the site, the site is on the outskirts of the Leeds boundary and in a smaller settlement.",433001,425655
3445A,"Land at Leadwell Lane, Robin Hood",2.3,"",60,G,Smaller Settlement Extension,Greenfield,The site is well connected to the urban area and would join up isolated group of houses to the south with the settlement.,433166,427730
4082,"Windlesford Green Hostel, Woodlesford",0.7,"",26,G,Major Settlement Infill,Brownfield,The site is well connected to the urban area and would join up isolated group of houses to the south with the settlement.,435645,429012
4220,Lofthouse,1.6,"",44,NonIO,Smaller Settlement Extension,Brownfield,Well connected to existing urban area. No Highways issues raised.,434081,425940
4222A,Land between Fleet Lane & Methley Lane Oulton,3.9,"",102,NonIO,Major Settlement Extension,Greenfield,Round off settlement and massing with sites 4222b and 4222c for better Infrastructure provision.,436387,427865
4222B,Land between Fleet Lane & Methley Lane Oulton,3.4,"",90,NonIO,Major Settlement Extension,Greenfield,Round off settlement and massing with sites 4222a and 4222c for better Infrastructure provision.,436717,428122
4222C,Land between Fleet Lane & Methley Lane Oulton,7.6,"",198,NonIO,Major Settlement Extension,Greenfield,Round off settlement and massing with sites 4222a and 4222b for better Infrastructure provision.,436614,427872
130,"Aberford Road (77/79), Oulton  LS26 8HS",1.3,"",50,G,Major Settlement Infill,Brownfield,Brownfield site in current use with established boundaries.,436480,428564
129B,"Main Street and Pitfield Road, Carlton, Wakefield",4.2,"",115,A,Other Rural Infill,Greenfield,"This was a PAS (Protected Area of Search) on the UDP, not a site within the Green Belt. The site is flat with no tree cover. There is concern over the size of the site in relation to the settlement (Carlton), which falls outside the settlement hierarchy defined in the Core Strategy; hence the site is to be safeguarded for future consideration.",433910,427082
1224,"Church Lane (land south of), Mickletown",2.5,"",55,A,Smaller Settlement Extension,Greenfield,"Site allocated as PAS (safeguarded land) in the UDP and not situated within land defined as the Green Belt. Site is well related to the existing settlement, however the site it is not required to meet the housing numbers due to local preference for an alternative strategic option and should therefore be retained as PAS.",439257,426845
1225C,"Pinfold Lane (land west of), Mickletown",2.2,"",50,A,Smaller Settlement Extension,Greenfield,"Site allocated as PAS (safeguarded land) in the UDP and not situated within land defined as the Green Belt. Site is well related to the existing settlement, however the site it is not required to meet the housing numbers due to local preference for an alternative strategic option and should therefore be retained as PAS.",439578,426933
1006,"Wakefield Road , Rothwell",2.3,"",59,P,"",Greenfield,Site not within the settlement hierarchy.,432724,428345
1030,"Green Lane, Lofthouse, Wakefield (known as Pymont Farm)",3.1,"",70,R,"",Mixed,"Sieved out Green Belt site.  The site has links to the urban area.  Access would need to be provided through an existing dwelling, as the southern access is not wide enough.  There is also a pylon in the centre of the southern field which would restrict development potential in this area.",433552,426335
1050,"Westfield Road (land off), Robin Hood, near Rothwell   WF3",5.7,"",129,R,"",Greenfield,Green Belt site. The site proposed is large in scale and does not connect well to the built up area. Development on this site would result in significant sprawlinto the Green Belt in relation to the size of the settlement.,433031,427400
1223,"Watergate (land north of), Methley",7.4,"",168,R,"",Greenfield,"Green Belt site. Large site, could set precedent for further sprawl if developed. Highways concerns raised over accessibility.",439260,426287
1225A,"Pinfold Lane (land west of), Mickletown",20.9,"",471,A,Smaller Settlement Extension,Greenfield,Suffiecient PAS elsewhere in other HMCAs and also conflicts with Natural Resources and Waste Local Plan.,439703,426693
1225B,"Pinfold Lane (land west of), Mickletown",26,"",586,R,"",Greenfield,Green Belt site. Large site not in keeping with the surrounding urban area and settlement pattern of Methley. Development would cause merging of Mickletown with Methley.,439816,426355
1249,"Junction 30 M62 (land off), Rothwell and Oulton  LS26",83.8,"",1885,P,"",Greenfield,Large Greenbelt Site. Protect greenbelt from encroachment and unrestricted sprawl into the greenbelt.,435685,426352
1259A,"Bullough Lane - Haigh Farm (land adjacent to), Rothwell Haigh LS26 0JY",5.3,"",139,R,"",Greenfield,Green Belt site. Land to the north of Rothwell. The site does not relate to the existing settlement pattern and development would constitute urban sprawl.,434698,429425
1335,"Mill Pit Lane, Rothwell  LS26",4.9,"",125,R,"",Greenfield,Green Belt site to the north of Rothwell. Development would be unrelated to the existing settlement pattern and constitute urban sprawl.,433646,429197
1355,"Wood Lane (r/o 26-32), Rothwell",0.7,"",32,R,"",Greenfield,"Green Belt site, conservation area, an area of proposed open space (N5 on the existing UDP, see also greenspace section page 21, question G8) and a local nature area. An ancient monument is situated to the south west of site.",434205,428391
1365B,"Swithens Lane, Rothwell, Leeds LS26 0BS",6.6,"",122,R,"",Greenfield,Green Belt site. Development would be unrelated to the existing settlement pattern and set a precedent for sprawl.,434494,427468
2103,"Copley Lane Allotments, Robin Hood  WF3",0.5,"",14,R,Smaller Settlement Infill,Greenfield,"The site covers the northern section of protected allotment (N1A) land on the UDP. As such housing development is not considered to be appropriate. Highway concerns re access. See also greenspace section, page 22, question G9.",432590,427778
2104,"Leeds Road, Lofthouse  WF3",11.8,"",0,R,"",Greenfield,Green Belt site. Development of the site would cross the disused railway line that runs along the western boundary. This is a strong defensible boundary that if breached could result in a high potential for further sprawl into the Green Belt.  There is a Local Nature Area in the northern section.  The southern section is also reserved for a potential new school site in the existing UDP.  We are consulting Education on all sites and any comments received will be considered before making final decisions on sites.,432865,426951
2107A,"Fleet Lane, Woodlesford,  LS26",6.2,"",164,R,"",Greenfield,"Green Belt site. Development would constitute urban sprawl, unrelated to the existing settlement. Highways concerns: no highway frontage and poor accessibility. Site would be affected by HS2 rail line proposals.",437442,428643
2107B,"Fleet Lane, Woodlesford,  LS26",6.8,"",178,R,"",Greenfield,"Green Belt site. Development would constitute urban sprawl, unrelated to the existing settlement. Highways concerns: no highway frontage and poor accessibility. A large part of the site is heavily wooded. Site would be affected by HS2 rail line proposals.",437717,428370
2110,"Rothwell Sports Centre, Oulton  LS26",7.9,"",208,P,"",Greenfield,Site not in Settlement Hierarchy.,436534,427555
3012,"Iveridge Hall, Oulton",1.1,"",29,P,"",Brownfield,Not within Settlement Hierarchy.,435883,426608
3080,"Wood Lane, Rothwell",1.1,"",35,R,"",Greenfield,"Green Belt site. Isolated site, unrelated to the existing settlement pattern. Development could set a precedent for urban sprawl.",433077,429339
3081A,Robin Hood West,14.2,"",0,G,"",Greenfield,Site is not required to meet the housing numbers due to local preference for alterantive sites. There is a possibility for a 2FE primary school on the site.,432369,427859
3084,"Cemetery Lane, Lofthouse",6.9,"",156,R,"",Greenfield,"Green Belt site. Not connected to the urban area, no defensible boundary.Development would constitute urban sprawl.",433168,426804
3085,"308 Leeds Road, WF3",10.4,"",234,G,"",Greenfield,"Greenbelt Site, potential for further sprawl to the north.",433205,426544
3093,"Eshald Lane, Woodlesford",1.3,"",41,R,"",Greenfield,Green Belt site adjacent to N1 greenspace on the existing UDP.  No definable boundary. The site is heavily wooded. It is considered that development would compromise the setting of the green space and be unrelated to the existing settlement pattern.,436988,428791
3318,Land off Wood Lane,1.6,"",48,R,Major Settlement Infill,Greenfield,Protected allotment (N1A) land on the existing UDP.,433849,428832
3444,"Wood Lane Allotments, Rothwell, Leeds",0.5,"",15,R,Major Settlement Infill,Greenfield,Protected allotment (N1A) land on the existing UDP.,433514,429047
3445B,"Land at Leadwell Lane, Robin Hood",4.2,"",111,R,"",Greenfield,"Green Belt site, unrelated to the existing settlement pattern. Development would reduce the Green Belt gap between Rothwell and Robin Hood.",433283,427944
3465,"Leadwell Lane, Rothwell",1.1,"",33,P,"",Greenfield,Not within Settlement Hierarchy.,433688,427934
4171,"Rothwell 4x4 Centre, Wakefield Road",16.1,"",424,NonIO,"",Greenfield,Large Greenbelt Site.Protect greenbelt from encroachment and unrestricted sprawl into the greenbelt.,436264,426983
4222D,Land between Fleet Lane & Methley Lane Oulton,7,"",0,NonIO,"",Greenfield,Greenbelt Site.Protect greenbelt from encroachment and unrestricted sprawl into the greenbelt.,436913,428039
4231,"Wakefield Road, Rothwell",2,"",62,NonIO,"",Brownfield,Site not within the settlement hierarchy.,432693,428488
5153,Land south of Barnsdale Road Methley,3.8,"",85,NonIO,Smaller Settlement Extension,Greenfield,Greenbelt Site.Protect greenbelt from encroachment and unrestricted sprawl into the greenbelt.,439809,425960
1076,"Leeds Valley Park (phases 3/4), Savannah Way, Leeds Valley Park  LS10",23.7,"",0,AV,Main Urban Area Infill,Mixed,Employment site. Refer to emerging Aire Valley Action Plan.,432491,429551
298,"Queen Street - Hollinshurst Depot, Allerton Bywater",2.1,"",79,G,Smaller Settlement Infill,Brownfield,"Brownfield site granted planning permission in May 2014 for 79 units, with current application pending to revise layout and reduce site capacity to 76 units.",440138,428627
818,"Station Road, Allerton Bywater",14.7,"",182,LG,Smaller Settlement Infill,Brownfield,Site nearing completion for residential.,442093,427818
819,"Queen Street, (a.k.a land south of Leeds Road), Allerton Bywater",4.1,"",114,LG,Smaller Settlement Infill,Greenfield,Benefits from planning permission with conditions discharged in 2012.,440374,428613
820,Micklefield (south of),6.1,"",150,LG,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,444051,433282
822,"Barrowby Lane, Garforth",1.1,"",33,LG,Major Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,440279,433672
823,"Selby Road, Garforth",3,"",68,LG,Major Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,441324,432058
825,"Manor Farm buildings, Micklefield",0.5,"",14,LG,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,444461,433331
836,"Barleyhill Road, Garforth",0.7,"",30,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,440139,433001
1118,"Church Lane and Manor Farm (existing phase 3 housing allocations), Micklefield",14.9,"",400,LG,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,444430,433361
2040,"Bullerthorpe Lane (Temple Point), Colton",2.6,"",69,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,437704,432725
3351,"2 Brigshaw Lane, Allerton Bywater",0.3,"",8,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,440581,429036
3352,51 Westfield Lane Kippax,0.4,"",5,LG,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,441032,430549
4083,"Grange Court, Garforth",0.4,"",58,G,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,440692,432975
4196,"Royal Oak, Cross Hills, Kippax",0.2,"",11,NonIO,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,441529,430192
HLA3300450,Church Lane Swillington,0.2,"",14,LG,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3306630,Beech Grove Avenue Garforth,0.1,"",9,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3306660,"Queens Court, Queen St Allerton Bywater",0.2,"",9,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3306670,"Land Off Birch Grove, Kippax, Leeds",0.1,"",6,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
265,"Ash Tree Primary School, Kippax",0.5,"",22,NonIO,Smaller Settlement Infill,Brownfield,"Former school now cleared vacant brownfield site, LCC is to market for sale for elderly accommodation.",441550,430407
310,"Barnsdale Road, Allerton Bywater",1.8,"",49,G,Smaller Settlement Infill,Brownfield,Brownfield site in employment use between two housing estates (one being a new development) and an office development.  Supported by infrastructure providers.,442459,427808
827,"Carlton View, Allerton Bywater",0.9,"",25,G,Smaller Settlement Infill,Greenfield,"Site within the existing settlement.  Outline permission for residential development approved 2006, not built. Suitable in principle for residential use, subject to detailed design to account for Tree Preservation Order on site.",440933,428713
1174,"Micklefield Railway Station Car Park (land to north of), Micklefield, LS25",0.7,"",18,A,Smaller Settlement Extension,Greenfield,Green Belt triangular flat site but well contained with low potential for sprawl by residential development to the north and the railway station and railway line to the south and the A1/M to the east.  Development would effectively constitute rounding off of the settlement north of the railway.  Access would only be possible through the UDP allocated (undeveloped) housing site adjoining to the north east.,444632,432746
1175A,"Brigshaw Lane (land to east of), Kippax",3,"",76,A,Smaller Settlement Extension,Greenfield,Square agricultural field with road frontage.  Set to the south of settlement which could lead to further sprawl but is linked to the north and west. Adjacent to a Site of Ecological and Geological Importance (SEGI) to the east.,441291,429718
1176,"Pit Lane (land to south of), Micklefield  LS25",4.3,"",79,G,Smaller Settlement Extension,Greenfield,PAS site with long road frontage and adjoining housing to the east.  Majority is agricultural field with southern part in current use for allotments and smallholdings whereby their retention or replacement would be considered at detailed design stage.,444295,432596
1232B,"Stourton Grange Farm South, Selby Road - Ridge Road, Garforth",132.9,"",2314,A,Major Settlement Extension,Greenfield,"Green Belt. Very large site, has been split from former single site at Issues and Options into 1232A north of railway, and 1232B south of railway. 1232B incorporates sites 1244 and 3110.  Site capacity of 1232B reduced to allow for build out rates in the plan period. The railway line to the north and existing roads to east and south create defensible boundaries. Development dependant on comprehensive development including former sites 1244 and 3110. South portion chosen through local preference.  It is further from HS2, and a larger gap between it and Micklefield so less impact on the green belt.  A large site will improve opportunity for securing new facilities/services.Good road links and strong defensible boundaries.  Development to include a green corridor/park as buffer to Garforth so can act as a new settlement, and a sufficient part of the site must be reserved for education use.",442381,432315
1357,"Ninevah Lane, Allerton Bywater",2.9,"",65,G,Smaller Settlement Extension,Mix 50:50,"Green Belt site with strong links with the settlement connected to residential development to the east and the north and well contained on all sides with trees lining the western boundary creating a natural buffer that would prevent further sprawl into the Green Belt. Contains a mix of uses, part greenfield and part brownfield.",440644,428414
3100B,"Whitehouse Lane, Swillington",1.2,"",40,G,Other Rural Infill,Greenfield,Majority is in existing settlement area with 25% in Green Belt.  Well related to the settlement.,440346,429960
3109C,"Selby Road/Leeds Road, Kippax",1.5,"",40,A,Smaller Settlement Extension,Greenfield,Green Belt site in agricultural use.  Would not result in coalescence of Garforth and Kippax.  Existing development to the west and south so relates well to the existing settlement pattern and has suitable access and strong defensible boundaries.,441261,431407
4200B,"Newtown Farm, Micklefield",1.6,"",42,NonIO,Smaller Settlement Extension,Greenfield,"",444670,432366
5013,"Land at 25 - 29 high Street, Kippax",0.4,"",16,NonIO,Smaller Settlement Infill,Brownfield,Brownfield garage site containing some buildings and hardstanding and a few trees on boundaries.,441692,430261
1149A,"Park Lane / Doctor's Lane (land off), Allerton Bywater","","",950,A,Smaller Settlement Extension,Greenfield,"Large agricultural site with two sections of woodland in the central part, the south east section has a road frontage and is well linked to residential development.  Site 1149 at Issues and Options stage also contained an area of Green Belt to the south but site now split so that 1149B (Green Belt) is not allocated and 1149A (existing PAS) is retained as PAS. Concern at the scale of the site in relation to the size of Allerton Bywater, and including local preference determined to retain as PAS because on balance are better sites for development earlier than this one.",441538,428515
2131,Moorgate Kippax,8.9,"",166,A,Smaller Settlement Extension,Greenfield,"Greenfield site, heavily treed adjoining the northern boundary of Kippax.  Slopes slightly upwards to the north and links to open fields.  Exiting PAS site, propose to retain as PAS because on balance are better sites for development earlier than this one. N.B. currently subject to a planning application for 166 dwellings.",441884,431066
2132,Selby Road Garforth,18,"",500,A,Major Settlement Extension,Greenfield,"Some brownfield areas containing dwellings and outbuildings but predominantly greenfield containing residential gardens and the majority consisting of fields with some tree cover, these are bordered by trees and a beck to the south east. Existing Protected Area of Search.  Highways previously only supported one access into the site which limited the capacity but capacity has now increased.  Would need comprehensive masterplan although multiple owners would make this difficult and not allow early delivery.  Also ecology concerns.  Retain as PAS because on balance are better sites for development earlier than this one.",439903,432247
352,"Swillington Lane (land on west side of), Swillington",0.9,"",24,R,"",Greenfield,"Green Belt site. The site juts out to the west of Swillington, and is unrelated to the existing settlement form.  Development could set a precedent for further Green Belt sprawl.",437857,430576
1004,"Kennet Lane (land to north of), Garforth",3.2,"",65,A,Major Settlement Infill,Greenfield,Site within existing settlement.  Southern half is allocated as N1 greenspace and Local Nature Area on UDP.  Greenspace provision has been considered across the HMCA and local preference is to retain as greenspace.,441372,432744
1007,"Selby Road (land south of), Garforth",5.9,"",133,R,"",Greenfield,Green Belt site.  The site is in an isolated position within the Green Belt and development would result in an island of development unrelated to the existing settlement.  There is no road frontage to the site for access.,440016,431999
1013,"Goody Cross Lane (land to the south of), Little Preston",1.2,"",100,A,"",Greenfield,"Green Belt site between Swillington and Little Preston.   As submitted the site has no access to the adopted highway - the inclusion of the commercial unit to the north would provide access.  Green Belt site between Swillington and Little Preston, would significantly reduce the green belt gap.",438694,430396
1044,"Wakefield Road and Barrowby Lane, Garforth",21.9,"",575,G,"",Greenfield,"Green Belt site.  No longer identified as needed for a potential extension of the town centre which means less need for a site in this location.  There have been substantial objections to development due to access, traffic, and flooding issues.  Also important strategic purpose in keeping gap between settlements open.  Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the west/north of Garforth.",439916,433519
1100,"Wakefield Road - Clearview Farm, Garforth  LS25",3.6,"",47,G,"",Greenfield,"Green Belt site. There have been substantial objections to development due to access, traffic, and flooding issues.  Also important strategic purpose in keeping gap between settlements open.  On its own the site would not relate well to the existing settlement form. The proposed HS2 rail line runs to the north west.  Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the west/north of Garforth.",439724,433304
1149B,"Park Lane / Doctor's Lane (land off), Allerton Bywater","","",0,A,Smaller Settlement Extension,Greenfield,"Site 1149 at Issues and Options stage contained an area of Green Belt to the south and existing PAS to the north, but site now split so that 1149B is the Green Belt part only.  Site bounded by trees, containing agricultural fields and a small area of car park hardstanding.  Could constitute rounding off of the settlement with defensible boundaries.  However, concern at the scale of the site (plus 1149A which would be required) in relation to the size of Allerton Bywater.  As 1149A retained for PAS, determined not to allocate as no need to increase size of PAS larger in this location and on balance are better sites for development elsewhere.",442360,428206
1165,"Barwick Road (land north of), Garforth",9.7,"",0,A,"",Greenfield,Green Belt site. The site in isolation would have an unacceptable impact on the Green Belt in terms of unrestricted sprawl and safeguarding the countryside from encroachment. The site also lies within the proposed HS2 route which would have a significant impact on its deliverability. Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the east/north of Garforth.,440606,434293
1169,"Hall Farm Road (paddock to the rear of), Micklefield LS25",1,"",27,R,"",Greenfield,"",443931,433684
1173,"Honeysuckle Close (adjacent to) , Micklefield (land to south of)",8.3,"",124,A,Smaller Settlement Extension,Greenfield,"",444609,432048
1175B,"Brigshaw Lane (land to east of), Kippax",1,"",32,R,"",Greenfield,Green Belt site and a protected Site of Ecological and Geological Importance (SEGI) on the existing UDP and West Yorkshire Ecology have objected to its potential development.,441425,429772
1226,"Nanny Goat Lane (land north of) and adjacent to M1, Garforth LS25",17.4,"",0,A,"",Greenfield,Green Belt site. The site in isolation would have an unacceptable impact on the Green Belt in terms of sprawl and safeguarding the countryside from encroachment. The site also lies within the proposed HS2 route which would have a significant impact on its deliverability.Highways access concerns due to narrow bridge into Garforth. Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the east/north of Garforth.,440024,434005
1232A,"Stourton Grange Farm North, Selby Road - Ridge Road, Garforth",137.7,"",0,A,"",Greenfield,"Green Belt. Very large site, has been split from former single site at Issues and Options into 1232A north of railway, and 1232B south of railway. 1232B incorporates sites 1244 and 3110 and area reduced (including build out rates in the plan period).  North portion 1232A not as favoured as 1232B through local preference.  It is closer to HS2, and smaller gap between it and Micklefield so more impact on the green belt.",442454,433468
1237,"Astley Lane (land to the north and east of), Swillington,",6.2,"",137,R,"",Greenfield,"Green Belt site to the south of Swillington.  Although the site borders an industrial/trading estate, the site is poorly connected with the residential area of Swillington.  Development would extend the settlement to the south and could set a precedent for further sprawl to the north and east of the site.  Highways concerns re poor accessibility.",438896,429628
1244,"Garforth Cliffe Park (land to the north of) , LS25",3.5,"",0,A,"",Greenfield,Now included as part of 1232B following discussions at member meeting - 91 capacity carried into 1232B,441634,432169
1269,"Pit Lane and Roman Road (land between), Micklefield",27.7,"",621,R,"",Greenfield,"Green Belt site.   Isolated site, unrelated to the existing settlement of Micklefield.  Development would set a precedent for unrestricted sprawl and contribute to the coalescence of Garforth and Micklefield.   Highways concerns re poor accessibility.",443412,432286
1270,"Pit Lane and The Crescent (land between), Micklefield",14.8,"",333,A,"",Greenfield,Green Belt site.  The site is adjacent to an existing quarry and slopes steeply because of this.  Development would not relate well to the existing settlement form and could set a precedent for further Green Belt sprawl.  Development would be highly visible due to the height and sloping nature of the land.,444319,432359
