Allocation Ref,SHLAA Refs,Address,Capacity,Completed post-2012, Under construction,Not started,Area HA,Green/Brown,Status
HG1-132,HLA2503350,"Ross Studios, Rodley Lane, Rodley, Leeds",8,0,8,0,,,Draft
HG1-133,2121,"Calverley Lane, Farsley",70,0,0,70,,,Draft
HG1-134,645,"Bagley Lane, Farsley",45,40,1,4,,,Draft
HG1-135,5110,"Springfield Iron Works, Bagley Lane, Farsley",11,0,0,11,,,Draft
HG1-136,658,"Bank Bottom Mills, Farsley",32,32,0,0,,,Draft
HG1-137,652,"Cherry Tree Drive, Farsley",13,0,0,13,,,Draft
HG1-138,648,"Cherry Tree Drive, Farsley",10,0,0,10,,,Draft
HG1-139,5120,Whitecote Hill LS13,5,0,5,0,,,Draft
HG1-140,3304,"The Old Vic, 17 Whitecote Hill, Bramley, Leeds",6,0,0,6,,,Draft
HG1-141,HLA2405290,"Hayley's Yard, Upper Town Street Bramley",10,10,0,0,,,Draft
HG1-142,163,"Broad Lane (139) - Salvation Army, Bramley",83,0,0,83,,,Draft
HG1-143,3305,"Victoria Park Avenue, Bramley",21,21,0,0,,,Draft
HG1-144,587,"Broad Lane, Bramley LS5",19,19,0,0,,,Draft
HG1-145,625,"Canal Wharf, Wyther Lane LS5",84,0,0,84,,,Draft
HG1-146,HLA2405460,"Former Lord Cardigan Public House, Hough Lane, Bramley, Leeds",8,0,0,8,,,Draft
HG1-147,HLA2405050,BRAMLEY DISTRICT CENTRE LS13,21,0,0,21,,,Draft
HG1-148,3303,"Former Raynville Hotel, Raynville Drive, Bramley, Leeds, LS13 2QE",14,14,0,0,,,Draft
HG1-149,3302,"New Street, Farsley, Pudsey, LS28 5DJ",10,0,0,10,,,Draft
HG1-150,24,"Newlands - Farsley Celtic AFC, Farsley",14,14,0,0,,,Draft
HG1-151,5114,"Land And Premises Opposite 60 To 68, Half Mile Lane, Stanningley, Pudsey",12,0,0,12,,,Draft
HG1-152,636,Broad Lane - Westfield Mill LS13,133,0,0,133,,,Draft
HG1-153,HLA2404670,Brown Cow Ph Stanningley Rd Pudsey,18,1,17,0,,,Draft
HG1-154,242,"Fairfields, Fairfield Grove, Bramley",16,0,5,11,,,Draft
HG1-155,613,Elder Road / Swinnow Road LS13,25,0,0,25,,,Draft
HG1-156,26,Swinnow Road - land north of Morrisons,25,0,0,25,,,Draft
HG1-157,3196,"Elder Road, LS13",22,0,0,22,,,Draft
HG1-158,4199,"Town End Works, Bramley",28,0,0,28,,,Draft
HG1-159,1147,"Springfield Mill and Craven Mill, Stanningley Road, Bramley",72,0,0,72,,,Draft
HG1-160,HLA2405140,Hisco Works Aston Mount LS13,5,0,0,5,,,Draft
HG1-161,649,"Charity Farm, Swinnow",50,0,0,50,,,Draft
HG1-162,678,"Bradford Road (83-105), Stanningley",78,0,0,78,,,Draft
HG1-163,HLA2405090,Vernon Place LS28,8,0,0,8,,,Draft
HG1-164,667,Town Street - Belgrave Works LS13,78,0,0,78,,,Draft
HG1-165,669,"Dick Lane - Midpoint, Pudsey",122,115,4,3,,,Draft
HG1-166,3344,"Land off Waterloo Mount, Pudsey LS28",22,16,0,6,,,Draft
HG1-167,5119,"Ingham's Avenue, Waterloo Mount & Grove",24,8,16,0,,,Draft
HG1-168,646,"Delph End, Pudsey",38,4,0,34,,,Draft
HG1-169,4193,"Land At Waterloo Road and Gibraltar Road, Pudsey",29,29,0,0,,,Draft
HG1-170,248,"Waterloo Infants School, Waterloo Road, Pudsey",4,4,0,0,,,Draft
HG1-171,3208,"9 Marsh, Pudsey",5,0,5,0,,,Draft
HG1-172,666,"Occupation Lane, Pudsey",83,83,0,0,,,Draft
HG1-173,153,"Cemetery Road, Pudsey LS28 7HH",103,103,0,0,,,Draft
HG1-174,4189,"Former Pudsey Grangefield School, LS28 7ND",49,8,41,0,,,Draft
HG1-175,3226,"Clifton Road, Pudsey",3,3,0,0,,,Draft
HG1-176,3209,"51-61 Mount Pleasant Road, Pudsey",5,5,0,0,,,Draft
HG1-177,650,"Lane End, Pudsey",20,0,0,20,,,Draft
HG1-178,671,"Lane End, Pudsey",14,0,0,14,,,Draft
HG1-179,3179,"Former Bowling Green, Intake Road, Pudsey",4,4,0,0,,,Draft
HG1-180,5185,"Former Garage Site, Harley Green",8,0,0,8,,,Draft
HG1-181,656,"Pudsey Road, Bramley LS13",10,0,0,10,,,Draft
HG1-182,HLA2405190,30 Tower Lane LS12,5,0,0,5,,,Draft
HG1-183,41,Moorfield Road -Tower Works LS12 3RS,62,0,0,62,,,Draft
HG1-184,255,"Far Fold, Theaker Lane LS12",46,25,21,0,,,Draft
HG1-185,HLA2405410,"The Former Barleycorn, 114 Town Street, Armley, Leeds",8,8,0,0,,,Draft
HG1-186,HLA2404440,Oddy's Yard Town Street LS12,9,4,5,0,,,Draft
HG1-187,HLA2405100,43 Carr Crofts LS12,7,0,0,7,,,Draft
HG1-188,4197,"St Lawrence House, Pudsey",11,10,1,0,,,Draft
HG1-189,653,"Robin Lane/Longfield Road, Pudsey",28,0,0,28,,,Draft
HG1-190,644,"Berry Mount, Wood Lane LS12",12,0,0,12,,,Draft
HG1-191,HLA2405250,249 Pudsey Road LS13,5,0,5,0,,,Draft
HG1-192,4194,"Land Off Tong Way, Farnley",16,0,0,16,,,Draft
HG1-193,HLA2405470,"Royal Oak, 40 Silver Royd Hill, Wortley, Leeds, LS12 4QQ",6,0,0,6,,,Draft
HG1-194,638,"Land rear of 22 Thornhill Croft and Upper Wortley County Primary School, Ashley Road, Upper Wortley, Leeds",49,0,0,49,,,Draft
HG1-195,3202,"120-122 Smalewell Road, Pudsey",5,5,0,0,,,Draft
HG1-196,3379,"Site Underconstruction of New Builds, Green Lane, Pudsey",14,0,0,14,,,Draft
HG1-197,5187,"Land Off Fartown, Pudsey",13,0,0,13,,,Draft
HG1-198,33,"Carlisle Road - Daytona Works, Pudsey LS28 8PL",23,5,0,18,,,Draft
HG1-199,5118,"Roker Lane, Hare Lane",9,0,0,9,,,Draft
HG1-200,3203,Lumby Lane,13,0,0,13,,,Draft
HG1-201,382,"Walmer Grove, Pudsey",36,36,0,0,,,Draft
HG1-202,HLA2503170,WEASEL PH ROKER LANE PUDSEY,12,0,0,12,,,Draft
HG1-203,5105,"Lawns House, Chapel Lane, Farnley, Leeds, LS12 5et",8,6,2,0,,,Draft
HG1-204,HLA2404820,Prospect House Fawcett Lne LS12,12,0,0,12,,,Draft
HG1-205,595,"Fawcett Lane - Cliff House, LS12",7,0,0,7,,,Draft
HG1-206,64,South Park Mills (15a 15 16 17) - Acrivan Ltd,14,0,0,14,,,Draft
MX1-3,626,Abbey Road - Kirkstall Forge LS5,415,0,0,415,,,Draft
MX1-4,CFSM051,"Site of Sunnybank Mills, Town Street, Farsley, Pudsey",12,0,0,12,,,Draft
HG2-53,4097,"Calverley Cutting / Leeds Liverpool Canal, Apperly Bridge",32,,,,1.1,Greenfield,Draft
HG2-58,1322,"Airedale Mills, Rodley",69,,,,1.9,Brownfield,Draft
HG2-60,5136,Hillside Reception Centre Leeds and Bradford Road Bramley,24,,,,0.7,Brownfield,Draft
HG2-61,4042A,"Raynville Road/Raynville Crescent, Bramley (East)",15,,,,0.5,Greenfield,Draft
HG2-63,1201,"Woodhall Road (land adjoining) - Gain Lane, Thornbury BD3",196,,,,7.4,Greenfield,Draft
HG2-64,4047,"Bradford Road, Sunnybank Lane, Pudsey",22,,,,0.6,Brownfield,Draft
HG2-65,4046,"Daleside Road, Thornbury, North",89,,,,3.4,Greenfield,Draft
HG2-66,2120,"Hill Foot Farm, Pudsey",70,,,,2.7,Greenfield,Draft
HG2-67,1073A_3440,Owlcotes Farm/Owlcotes Gardens Pudsey,100,,,,3.3,Mix 70:30,Draft
HG2-68,1195,"Waterloo Road (land at), Pudsey LS28",35,,,,1.1,Greenfield,Draft
HG2-69,3011_4044,Dick Lane Thornbury,206,,,,7.5,Mix 70:30,Draft
HG2-70,3121,Tyresal Lane,27,,,,0.9,Greenfield,Draft
HG2-71,4169,"Land off Tyersal Road, Pudsey",33,,,,1.1,Greenfield,Draft
HG2-72,3464,"Land off Tyersal Court, Tyersal",40,,,,2.9,Greenfield,Draft
HG2-73,1343A,"Harper Gate Farm, Tyersal Lane, Bradford BD4 0RD",283,,,,9.2,Greenfield,Draft
HG2-74,659,"Station Street, Pudsey",20,,,,0.5,Greenfield,Draft
HG2-75,5135,Musgrave House Crawshaw Road Pudsey,14,,,,0.4,Brownfield,Draft
HG2-76,1060A_3377,Hough Side Road Pudsey,160,,,,5.5,Greenfield,Draft
HG2-77,4039,"Regina House, Ring Road Bramley",64,,,,1.8,Brownfield,Draft
HG2-80,1184_3050,Acres Hall Avenue Pudsey,99,,,,3.6,Greenfield,Draft
HG2-81,3455B,Land off Gamble Lane,200,,,,7.6,Greenfield,Draft
HG2-82,4007,Wortley High School,40,,,,6.6,Mix 65:35,Draft
HG2-83,4036,"Upper Wortley Road, Thornhill Road, Bramley",18,,,,0.5,Brownfield,Draft
HG2-84,254,"Oldfield Lane - Leeds City Boy's pitch, LS12",61,,,,1.7,Greenfield,Draft
HG2-200,4249_5010,"Stanningley Road, Leeds",22,,,,0,Brownfield,Draft
MX2-5,3412,"Waterloo Lane, Leeds",20,,,,1.2,Brownfield,Draft
MX2-6,HSG01793,Wortley Low Mills Whitehall Road,35,,,,2.5,Brownfield,Draft
HG2-56,1193A,"Rodley Lane (land at) - Calverley Lane, Calverley LS19",53,,,,2,Greenfield,Draft
HG2-59,4213,Land at Rodley lane,17,,,,0.6,Greenfield,Draft
HG2-54,1124,"Upper Carr Lane (land off), Calverley",18,,,,0.9,Greenfield,Draft
HG2-55,4049,"Calverley Lane, Calverley",18,,,,0.6,Greenfield,Draft
HG3-14,1110,"Rodley (land at), Leeds LS13",1.6,50,,,,,Draft
HG3-15,1114,"Kirklees Knowl (land at), Bagley Lane, Bagley",18,415,,,,,Draft
HG3-16,3455A,Land off Gamble Lane,4.5,120,,,,,Draft
HG3-17,2123,"Low Moor Side, New Farnley",5.7,130,,,,,Draft
